id,name,element_type_name,team_name,now_cost,status,chance_of_playing,total_points,expected_points
451,BrandonAustin,GKP,Spurs,39,a,1.0,0,0.0
378,HarryArter,MID,Nott'm Forest,42,a,1.0,0,0.0
646,TristanCrama,DEF,Brentford,40,a,1.0,0,0.0
324,StefanOrtega Moreno,GKP,Man City,38,a,1.0,0,0.0
649,CameronPlain,GKP,Bournemouth,40,a,1.0,0,0.0
32,CalumChambers,DEF,Aston Villa,42,a,1.0,0,0.0
426,FraserForster,GKP,Spurs,39,a,1.0,0,0.0
655,KarlHein,GKP,Arsenal,40,a,1.0,0,0.0
584,BobbyClark,MID,Liverpool,45,a,1.0,0,0.0
383,CarlosRibeiro Dias,MID,Nott'm Forest,42,a,1.0,0,0.0
355,MartinDubravka,GKP,Newcastle,41,a,1.0,0,0.0
654,JackWells-Morrison,MID,Crystal Palace,45,a,1.0,0,0.0
650,YegorYarmolyuk,MID,Brentford,45,a,1.0,0,0.0
571,DarrenRandolph,GKP,Bournemouth,40,a,1.0,0,0.0
668,AmarioCozier-Duberry,MID,Arsenal,45,a,1.0,0,0.0
626,LorisKarius,GKP,Newcastle,39,a,1.0,0,0.0
656,NathanBishop,GKP,Man Utd,40,a,1.0,0,0.0
548,DanielIversen,GKP,Leicester,39,a,1.0,0,0.0
700,GeorginioRutter,FWD,Leeds,55,a,1.0,0,0.0
738,MaxKinsey-Wellings,DEF,Bournemouth,40,a,1.0,0,0.0
439,JaphetTanganga,DEF,Spurs,39,a,1.0,0,0.0
730,Felipe Augustode Almeida Monteiro,DEF,Nott'm Forest,45,a,1.0,0,0.0
642,KofiBalmer,DEF,Crystal Palace,40,a,1.0,0,0.0
601,KadenRodney,MID,Crystal Palace,45,a,1.0,0,0.0
587,SergioGómez,DEF,Man City,45,a,1.0,0,0.0
347,FacundoPellistri Rebollo,MID,Man Utd,43,a,1.0,0,0.0
431,LucasRodrigues Moura da Silva,MID,Spurs,58,a,1.0,0,0.0
657,NathanFraser,FWD,Wolves,45,a,1.0,0,0.0
590,JosephWhitworth,GKP,Crystal Palace,40,a,1.0,0,0.0
497,AdriánSan Miguel del Castillo,GKP,Liverpool,39,a,1.0,0,0.0
734,AndréAyew,MID,Nott'm Forest,50,a,1.0,0,0.0
585,EmmanuelDennis,FWD,Nott'm Forest,57,a,1.0,0,0.0
645,JoeWormleighton,DEF,Leicester,40,a,1.0,0,0.0
435,DavinsonSánchez,DEF,Spurs,43,a,1.0,0,0.0
362,PaulDummett,DEF,Newcastle,39,a,1.0,0,0.0
635,MarcusBettinelli,GKP,Chelsea,40,a,1.0,0,0.0
546,LukeHarris,MID,Fulham,44,a,1.0,0,0.0
636,StefanParkes,DEF,Fulham,40,a,1.0,0,0.0
136,RubenLoftus-Cheek,MID,Chelsea,50,a,1.0,0,0.0
722,IlliaZabarnyi,DEF,Bournemouth,45,a,1.0,0,0.0
667,KristianSekularac,MID,Fulham,45,a,1.0,0,0.0
555,HarrisonAshby,DEF,Newcastle,39,a,1.0,0,0.0
696,MichaelDacosta Gonzalez,MID,Bournemouth,44,a,1.0,0,0.0
677,JackHinshelwood,MID,Brighton,45,a,1.0,0,0.0
719,YasinAyari,MID,Brighton,45,a,1.0,0,0.0
658,HarveyGriffiths,MID,Wolves,44,a,1.0,0,0.0
267,ÇaglarSöyüncü,DEF,Leicester,42,a,1.0,0,0.0
591,TerryAblade,FWD,Fulham,45,a,1.0,0,0.0
702,AndreyNascimento dos Santos,MID,Chelsea,45,a,1.0,0,0.0
24,MattTurner,GKP,Arsenal,39,a,1.0,0,0.0
551,ZidaneIqbal,MID,Man Utd,43,a,1.0,0,0.0
632,RyanTrevitt,MID,Brentford,44,a,1.0,0,0.0
664,DexterLembikisa,DEF,Wolves,40,a,1.0,0,0.0
1,CédricAlves Soares,DEF,Fulham,42,a,1.0,0,0.0
175,SamJohnstone,GKP,Crystal Palace,44,a,1.0,0,0.0
607,MatthewSmith,MID,Arsenal,45,a,1.0,0,0.0
671,JimmyMorgan,FWD,Southampton,45,a,1.0,0,0.0
102,JasonSteele,GKP,Brighton,39,a,1.0,0,0.0
253,JannikVestergaard,DEF,Leicester,39,a,1.0,0,0.0
637,KyleJohn,DEF,Everton,40,a,1.0,0,0.0
721,João VictorGomes da Silva,MID,Wolves,45,a,1.0,0,0.0
713,ArnautDanjuma,MID,Spurs,65,a,1.0,0,0.0
678,IsaacPrice,MID,Everton,45,a,1.0,0,0.0
460,ManuelLanzini,MID,West Ham,51,a,1.0,0,0.0
164,JairoRiedewald,MID,Crystal Palace,43,a,1.0,0,0.0
739,JosephAnang,GKP,West Ham,40,a,1.0,0,0.0
